Position,Time2009,Time2008
0,0.146,0.165
10,1.88,1.85
20,2.88,2.87
30,3.78,3.78
40,4.64,4.65
50,5.47,5.5
60,6.29,6.32
70,7.1,7.14
80,7.92,7.96
90,8.74,8.79
100,9.58,9.69
