location_id,date,observed,modeled,mean,upper,lower,location_name
540,2020-05-28,1,1,-21.0252338429957,-21.0252338429957,-21.0252338429957,Kentucky
540,2020-05-29,1,1,-20.2281504487034,-20.2281504487034,-20.2281504487034,Kentucky
540,2020-05-30,1,1,-19.4447835808336,-19.4447835808336,-19.4447835808336,Kentucky
540,2020-05-31,1,1,-18.7069439298126,-18.7069439298126,-18.7069439298126,Kentucky
540,2020-06-01,1,1,-18.0352502730415,-18.0352502730415,-18.0352502730415,Kentucky
540,2020-06-02,1,1,-17.4382606466277,-17.4382606466277,-17.4382606466277,Kentucky
540,2020-06-03,1,1,-16.918906015769,-16.918906015769,-16.918906015769,Kentucky
540,2020-06-04,1,1,-16.4783117133172,-16.4783117133172,-16.4783117133172,Kentucky
540,2020-06-05,1,1,-16.116545637001,-16.116545637001,-16.116545637001,Kentucky
540,2020-06-06,1,1,-15.8335578422531,-15.8335578422531,-15.8335578422531,Kentucky
540,2020-06-07,1,1,-15.6258741422955,-15.6258741422955,-15.6258741422955,Kentucky
540,2020-06-08,1,1,-15.4792581906009,-15.4792581906009,-15.4792581906009,Kentucky
540,2020-06-09,1,1,-15.3710796760337,-15.3710796760337,-15.3710796760337,Kentucky
540,2020-06-10,1,1,-15.2786524271673,-15.2786524271673,-15.2786524271673,Kentucky
540,2020-06-11,1,1,-15.1848481986387,-15.1848481986387,-15.1848481986387,Kentucky
540,2020-06-12,1,1,-15.0791166235439,-15.0791166235439,-15.0791166235439,Kentucky
540,2020-06-13,1,1,-14.9578127521876,-14.9578127521876,-14.9578127521876,Kentucky
540,2020-06-14,1,1,-14.8219581876146,-14.8219581876146,-14.8219581876146,Kentucky
540,2020-06-15,1,1,-14.6697236054044,-14.6697236054044,-14.6697236054044,Kentucky
540,2020-06-16,1,1,-14.496708943834,-14.496708943834,-14.496708943834,Kentucky
540,2020-06-17,1,1,-14.3024574120929,-14.3024574120929,-14.3024574120929,Kentucky
540,2020-06-18,1,1,-14.0934274438757,-14.0934274438757,-14.0934274438757,Kentucky
540,2020-06-19,1,1,-13.8836989490166,-13.8836989490166,-13.8836989490166,Kentucky
540,2020-06-20,1,1,-13.693923240407,-13.693923240407,-13.693923240407,Kentucky
540,2020-06-21,1,1,-13.5453545697486,-13.5453545697486,-13.5453545697486,Kentucky
540,2020-06-22,1,1,-13.4496754705104,-13.4496754705104,-13.4496754705104,Kentucky
540,2020-06-23,1,1,-13.4105527949024,-13.4105527949024,-13.4105527949024,Kentucky
540,2020-06-24,1,1,-13.4284846847755,-13.4284846847755,-13.4284846847755,Kentucky
540,2020-06-25,1,1,-13.4976558559226,-13.4976558559226,-13.4976558559226,Kentucky
540,2020-06-26,1,1,-13.6055800985785,-13.6055800985785,-13.6055800985785,Kentucky
540,2020-06-27,1,1,-13.7374911021739,-13.7374911021739,-13.7374911021739,Kentucky
540,2020-06-28,1,1,-13.8786450647453,-13.8786450647453,-13.8786450647453,Kentucky
540,2020-06-29,1,1,-14.0080142814112,-14.0080142814112,-14.0080142814112,Kentucky
540,2020-06-30,1,1,-14.0975885480362,-14.0975885480362,-14.0975885480362,Kentucky
540,2020-07-01,1,1,-14.1247522803739,-14.1247522803739,-14.1247522803739,Kentucky
540,2020-07-02,1,1,-14.0746657661277,-14.0746657661277,-14.0746657661277,Kentucky
