location_id,date,observed,modeled,mean,upper,lower,location_name
102,2020-01-16,,1,2.06003173448446e-05,2.06003173448446e-05,2.06003173448446e-05,United States of America
102,2020-01-17,,1,2.27545143529509e-05,2.27545143529509e-05,2.27545143529509e-05,United States of America
102,2020-01-18,,1,2.53746996467627e-05,2.53746996467627e-05,2.53746996467627e-05,United States of America
102,2020-01-19,,1,2.85746159556263e-05,2.85746159556263e-05,2.85746159556263e-05,United States of America
102,2020-01-20,,1,3.24995290879793e-05,3.24995290879793e-05,3.24995290879793e-05,United States of America
102,2020-01-21,,1,3.7335534335643e-05,3.7335534335643e-05,3.7335534335643e-05,United States of America
102,2020-01-22,,1,4.33216060148622e-05,4.33216060148622e-05,4.33216060148622e-05,United States of America
102,2020-01-23,,1,5.43469009451818e-05,5.43469009451818e-05,5.43469009451818e-05,United States of America
102,2020-01-24,,1,6.45156734881461e-05,6.45156734881461e-05,6.45156734881461e-05,United States of America
102,2020-01-25,,1,7.72819743942849e-05,7.72819743942849e-05,7.72819743942849e-05,United States of America
102,2020-01-26,,1,0.000310876251514689,0.000310876251514689,0.000310876251514689,United States of America
102,2020-01-27,,1,0.000421903617197589,0.000421903617197589,0.000421903617197589,United States of America
102,2020-01-28,,1,0.000575255898732899,0.000575255898732899,0.000575255898732899,United States of America
102,2020-01-29,,1,0.00078583312595406,0.00078583312595406,0.00078583312595406,United States of America
102,2020-01-30,,1,0.00107250804441158,0.00107250804441158,0.00107250804441158,United States of America
102,2020-01-31,,1,0.00145838132404569,0.00145838132404569,0.00145838132404569,United States of America
102,2020-02-01,,1,0.00197059848431996,0.00197059848431996,0.00197059848431996,United States of America
102,2020-02-02,,1,0.00263953431863088,0.00263953431863088,0.00263953431863088,United States of America
102,2020-02-03,,1,0.00349720078312591,0.00349720078312591,0.00349720078312591,United States of America
102,2020-02-04,,1,0.0045748481544115,0.0045748481544115,0.0045748481544115,United States of America
102,2020-02-05,,1,0.00589990364533701,0.00589990364533701,0.00589990364533701,United States of America
102,2020-02-06,,1,0.00687872174692899,0.00687872174692899,0.00687872174692899,United States of America
102,2020-02-07,,1,0.00860086139059975,0.00860086139059975,0.00860086139059975,United States of America
102,2020-02-08,,1,0.010579228943377,0.010579228943377,0.010579228943377,United States of America
102,2020-02-09,,1,0.012800153181291,0.012800153181291,0.012800153181291,United States of America
102,2020-02-10,,1,0.0134272276196811,0.0134272276196811,0.0134272276196811,United States of America
102,2020-02-11,,1,0.015734706416136,0.015734706416136,0.015734706416136,United States of America
102,2020-02-12,,1,0.0181637632730331,0.0181637632730331,0.0181637632730331,United States of America
102,2020-02-13,,1,0.0152144439903101,0.0152144439903101,0.0152144439903101,United States of America
102,2020-02-14,,1,0.0171374995264432,0.0171374995264432,0.0171374995264432,United States of America
102,2020-02-15,,1,0.0190884579830122,0.0190884579830122,0.0190884579830122,United States of America
102,2020-02-16,,1,0.0210523527287043,0.0210523527287043,0.0210523527287043,United States of America
102,2020-02-17,,1,0.0230207991538311,0.0230207991538311,0.0230207991538311,United States of America
102,2020-02-18,,1,0.0249921483948185,0.0249921483948185,0.0249921483948185,United States of America
102,2020-02-19,,1,0.0269707931895099,0.0269707931895099,0.0269707931895099,United States of America
102,2020-02-20,,1,0.0289657102098563,0.0289657102098564,0.0289657102098564,United States of America
102,2020-02-21,,1,0.0309884082521935,0.0309884082521934,0.0309884082521934,United States of America
102,2020-02-22,,1,0.0330505456902291,0.0330505456902291,0.0330505456902291,United States of America
102,2020-02-23,,1,0.0351615680427632,0.0351615680427632,0.0351615680427632,United States of America
102,2020-02-24,,1,0.0373267633004286,0.0373267633004286,0.0373267633004286,United States of America
102,2020-02-25,,1,0.0395461018987664,0.0395461018987665,0.0395461018987665,United States of America
102,2020-02-26,,1,0.0418141028985784,0.0418141028985784,0.0418141028985784,United States of America
102,2020-02-27,,1,0.0407345144929024,0.0407345144929024,0.0407345144929024,United States of America
102,2020-02-28,,1,0.0428889926597829,0.0428889926597829,0.0428889926597829,United States of America
102,2020-02-29,,1,0.0435220748425875,0.0435220748425875,0.0435220748425875,United States of America
102,2020-03-01,,1,0.0362678492864304,0.0362678492864304,0.0362678492864304,United States of America
102,2020-03-02,,1,0.033013566398985,0.033013566398985,0.033013566398985,United States of America
102,2020-03-03,,1,0.0325172285381812,0.0325172285381812,0.0325172285381812,United States of America
102,2020-03-04,,1,0.029376485825377,0.029376485825377,0.029376485825377,United States of America
102,2020-03-05,,1,0.0262857793760155,0.0262857793760155,0.0262857793760155,United States of America
102,2020-03-06,,1,0.0231621096716371,0.0231621096716371,0.0231621096716371,United States of America
102,2020-03-07,,1,0.0216674678488922,0.0216674678488922,0.0216674678488922,United States of America
102,2020-03-08,,1,0.022786528234722,0.022786528234722,0.022786528234722,United States of America
102,2020-03-09,,1,0.0240488066415511,0.0240488066415511,0.0240488066415511,United States of America
102,2020-03-10,,1,0.0254932180846121,0.0254932180846121,0.0254932180846121,United States of America
102,2020-03-11,,1,0.0271628072583368,0.0271628072583368,0.0271628072583368,United States of America
102,2020-03-12,,1,0.0291036400109108,0.0291036400109108,0.0291036400109108,United States of America
102,2020-03-13,,1,0.0313633534028319,0.0313633534028319,0.0313633534028319,United States of America
102,2020-03-14,,1,0.0339894638017235,0.0339894638017235,0.0339894638017235,United States of America
102,2020-03-15,,1,0.0370275745688304,0.0370275745688304,0.0370275745688304,United States of America
102,2020-03-16,,1,0.0405196289875436,0.0405196289875436,0.0405196289875436,United States of America
102,2020-03-17,,1,0.0445023190341203,0.0445023190341203,0.0445023190341203,United States of America
