location_id,date,mean,upper,lower,location_name
535,2021-02-16,1035.28481844823,2065.503328696,516.086792770791,Idaho
535,2021-02-17,1025.54356817593,2045.47088836489,513.238000488747,Idaho
535,2021-02-18,1014.60728120948,2059.97940187682,502.476848264376,Idaho
535,2021-02-19,1003.41049145372,2023.66778464209,497.825931320671,Idaho
535,2021-02-20,993.681323107709,2051.9943862671,497.907273121836,Idaho
535,2021-02-21,984.334111661598,2019.5242086865,488.055556343589,Idaho
535,2021-02-22,973.378006677899,1994.16282531015,480.65149181505,Idaho
535,2021-02-23,960.831401521667,1970.02594231423,467.085081269569,Idaho
535,2021-02-24,949.417289522603,1928.63949318835,462.489284262457,Idaho
535,2021-02-25,938.879555574765,1950.53119857676,453.28415595917,Idaho
535,2021-02-26,929.121947885644,1947.21036032407,442.252328347188,Idaho
535,2021-02-27,920.374761475644,1966.85081482085,433.222514636099,Idaho
535,2021-02-28,910.33518163464,1964.52450318146,422.869155750744,Idaho
536,2019-12-12,0,0,0,Illinois
536,2019-12-13,0,0,0,Illinois
536,2019-12-14,0,0,0,Illinois
536,2019-12-15,0,0,0,Illinois
536,2019-12-16,0,0,0,Illinois
536,2019-12-17,0,0,0,Illinois
536,2019-12-18,0,0,0,Illinois
536,2019-12-19,0,0,0,Illinois
536,2019-12-20,0,0,0,Illinois
536,2019-12-21,0,0,0,Illinois
536,2019-12-22,0,0,0,Illinois
536,2019-12-23,0,0,0,Illinois
536,2019-12-24,0,0,0,Illinois
536,2019-12-25,0,0,0,Illinois
536,2019-12-26,0,0,0,Illinois
536,2019-12-27,0,0,0,Illinois
536,2019-12-28,0,0,0,Illinois
536,2019-12-29,0,0,0,Illinois
536,2019-12-30,0,0,0,Illinois
536,2019-12-31,0,0,0,Illinois
536,2020-01-01,0,0,0,Illinois
536,2020-01-02,0,0,0,Illinois
536,2020-01-03,0,0,0,Illinois
536,2020-01-04,0,0,0,Illinois
536,2020-01-05,0,0,0,Illinois
536,2020-01-06,0,0,0,Illinois
536,2020-01-07,0,0,0,Illinois
536,2020-01-08,0,0,0,Illinois
536,2020-01-09,0,0,0,Illinois
536,2020-01-10,0,0,0,Illinois
536,2020-01-11,0,0,0,Illinois
536,2020-01-12,0,0,0,Illinois
536,2020-01-13,0,0,0,Illinois
536,2020-01-14,0,0,0,Illinois
536,2020-01-15,0,0,0,Illinois
536,2020-01-16,0,0,0,Illinois
536,2020-01-17,0,0,0,Illinois
536,2020-01-18,0,0,0,Illinois
536,2020-01-19,0,0,0,Illinois
536,2020-01-20,0,0,0,Illinois
536,2020-01-21,0,0,0,Illinois
536,2020-01-22,0,0,0,Illinois
536,2020-01-23,0,0,0,Illinois
536,2020-01-24,0,0,0,Illinois
536,2020-01-25,0,0,0,Illinois
536,2020-01-26,0,0,0,Illinois
536,2020-01-27,0,0,0,Illinois
536,2020-01-28,0,0,0,Illinois
536,2020-01-29,0,0,0,Illinois
536,2020-01-30,0,0,0,Illinois
536,2020-01-31,0,0,0,Illinois
536,2020-02-01,0,0,0,Illinois
536,2020-02-02,0,0,0,Illinois
536,2020-02-03,0,0,0,Illinois
536,2020-02-04,0,0,0,Illinois
536,2020-02-05,0,0,0,Illinois
536,2020-02-06,0,0,0,Illinois
536,2020-02-07,0,0,0,Illinois
536,2020-02-08,0,0,0,Illinois
536,2020-02-09,0,0,0,Illinois
536,2020-02-10,0,0,0,Illinois
536,2020-02-11,0,0,0,Illinois
536,2020-02-12,0,0,0,Illinois
536,2020-02-13,0,0,0,Illinois
536,2020-02-14,0,0,0,Illinois
536,2020-02-15,0,0,0,Illinois
536,2020-02-16,0,0,0,Illinois
536,2020-02-17,0,0,0,Illinois
536,2020-02-18,0,0,0,Illinois
536,2020-02-19,4.08844029812132,30.0611648832981,0,Illinois
536,2020-02-20,8.94954592042279,36.4756764354439,0,Illinois
536,2020-02-21,15.3465659441148,43.5114610541969,0,Illinois
536,2020-02-22,23.3413909795835,51.5891270588189,0,Illinois
536,2020-02-23,33.1033832038203,61.4603228317163,10.8779385342116,Illinois
536,2020-02-24,41.3018265499452,74.5910958811771,14.8084868449655,Illinois
536,2020-02-25,51.7148228283267,90.0427961832704,20.0102414303987,Illinois
536,2020-02-26,64.9635366399232,111.7585399756,26.8880642861943,Illinois
536,2020-02-27,81.8469133764431,138.825778898894,36.1131062529422,Illinois
536,2020-02-28,103.393249547105,174.863693004474,48.7919205454318,Illinois
536,2020-02-29,130.926251222275,221.579067276135,64.3041971687768,Illinois
536,2020-03-01,166.148362507011,280.972238240783,84.8267607748476,Illinois
536,2020-03-02,211.243166421805,357.789191271914,109.017345254363,Illinois
536,2020-03-03,268.992603409398,458.141603731942,139.426096806728,Illinois
536,2020-03-04,342.900951566756,581.298006349996,176.456658655366,Illinois
536,2020-03-05,437.303525549662,740.214772377455,226.006521564801,Illinois
536,2020-03-06,557.444580596474,933.435714536012,288.966167231484,Illinois
536,2020-03-07,709.487583794463,1183.31972274373,369.945417396219,Illinois
536,2020-03-08,900.421846057356,1501.08096171805,471.683638116136,Illinois
536,2020-03-09,1137.83017204812,1874.1813981092,607.518840682265,Illinois
536,2020-03-10,1429.4710011984,2313.92176972937,776.68719976607,Illinois
536,2020-03-11,1782.63871189402,2843.64549293999,986.274003476238,Illinois
536,2020-03-12,2203.25393696544,3454.9133127683,1259.17413754995,Illinois
536,2020-03-13,2694.71557389374,4173.58218285062,1599.22712875749,Illinois
536,2020-03-14,3256.64398125568,4958.10371124653,1994.15887223806,Illinois
536,2020-03-15,3883.71863819433,5784.82184532017,2453.72076173184,Illinois
536,2020-03-16,4565.04637483087,6662.50248501466,2968.94343525559,Illinois
536,2020-03-17,5284.31353458705,7493.009080506,3542.31230205669,Illinois
536,2020-03-18,6020.68319356943,8310.22589072041,4164.57393092115,Illinois
536,2020-03-19,6750.89807098209,9078.58693105073,4798.60012267107,Illinois
536,2020-03-20,7452.02815219433,9752.60469398214,5478.37733938176,Illinois
536,2020-03-21,8104.00822403081,10376.4072517777,6190.44708259198,Illinois
536,2020-03-22,8691.43012926338,10844.8834626141,6824.80695184424,Illinois
536,2020-03-23,9204.56465694723,11239.8518976343,7377.29827367184,Illinois
536,2020-03-24,9639.53879472639,11591.8694910574,7908.89749022425,Illinois
536,2020-03-25,9997.88236557269,11828.794912281,8370.23170416444,Illinois
536,2020-03-26,10285.7049443687,12064.6046739954,8693.74682123386,Illinois
536,2020-03-27,10512.6268856434,12335.7746573851,8917.58928843979,Illinois
536,2020-03-28,10690.7298092934,12549.9876017484,9150.48600956167,Illinois
536,2020-03-29,10833.3561370071,12774.8571913018,9238.07892682984,Illinois
536,2020-03-30,10953.8877774157,12944.7560508304,9328.27677945481,Illinois
536,2020-03-31,11064.6447849837,13018.5225464098,9430.90512123106,Illinois
536,2020-04-01,11176.0800407903,13146.3133636084,9486.11715662847,Illinois
536,2020-04-02,11296.2963273176,13268.9642632082,9606.27582378242,Illinois
536,2020-04-03,11430.885814155,13408.8842820334,9730.32993949024,Illinois
536,2020-04-04,11583.1903104783,13640.8384825881,9872.75233362618,Illinois
536,2020-04-05,11754.7030150628,13801.7574562674,10020.4065299142,Illinois
536,2020-04-06,11945.5189430478,14003.2565838443,10263.5710900686,Illinois
536,2020-04-07,12154.8119203984,14181.7284976683,10431.4975722252,Illinois
536,2020-04-08,12381.0354326256,14479.6166588942,10614.1912043545,Illinois
536,2020-04-09,12621.9275589592,14800.3400251672,10779.1534357045,Illinois
536,2020-04-10,12874.520166871,15097.1725219957,11012.4432826727,Illinois
536,2020-04-11,13135.1489894744,15319.201506192,11241.4505966724,Illinois
536,2020-04-12,13399.4508120925,15682.9964158908,11484.8412901907,Illinois
536,2020-04-13,13662.3520467223,16026.8513261633,11748.1108034505,Illinois
536,2020-04-14,13918.2351653488,16229.5421339742,11974.4882053218,Illinois
536,2020-04-15,14161.0319328026,16621.8720507081,12228.0535603712,Illinois
536,2020-04-16,14384.45945345,16714.1070383839,12397.7838569661,Illinois
536,2020-04-17,14582.244347781,16972.3638882419,12565.6524921486,Illinois
536,2020-04-18,14748.3514481351,17240.1676094868,12651.5108582884,Illinois
536,2020-04-19,14877.1195055356,17327.7175355866,12766.0472075244,Illinois
536,2020-04-20,14963.4893898681,17533.5146154218,12872.4165369684,Illinois
536,2020-04-21,15003.2650372258,17537.0632277208,12858.5602255235,Illinois
536,2020-04-22,14993.3964298291,17539.1318059869,12840.0939054334,Illinois
536,2020-04-23,14932.3740692124,17353.6889397994,12728.1398287824,Illinois
536,2020-04-24,14820.4556442031,17158.1829240839,12607.3068646007,Illinois
536,2020-04-25,14659.8248054368,16897.6629413732,12532.3543975052,Illinois
536,2020-04-26,14454.5117804694,16610.3921592991,12318.306349631,Illinois
536,2020-04-27,14210.0837305885,16428.7781007229,12114.1046057461,Illinois
536,2020-04-28,13933.3131534062,16180.4895717091,11882.6427060315,Illinois
536,2020-04-29,13631.7038077035,15866.5540405808,11632.4680479409,Illinois
536,2020-04-30,13313.0098407662,15564.5641600435,11316.2440678847,Illinois
536,2020-05-01,12984.8234121621,15215.9292333299,11039.0956953865,Illinois
536,2020-05-02,12654.297432145,14853.8764630326,10684.667442474,Illinois
536,2020-05-03,12327.8769376394,14436.7523118997,10354.9306977678,Illinois
536,2020-05-04,12011.1767135076,14009.4509251904,10072.3512960326,Illinois
536,2020-05-05,11708.8696601265,13651.3033927371,9871.5770432843,Illinois
536,2020-05-06,11424.553433485,13369.1545733016,9675.21595419226,Illinois
536,2020-05-07,11160.6264338673,13067.8603084295,9517.09754761553,Illinois
536,2020-05-08,10918.2083293203,12766.069467968,9295.94512020159,Illinois
536,2020-05-09,10697.1156088549,12543.4278876876,9112.54670299553,Illinois
536,2020-05-10,10495.9756090201,12279.5766045723,8965.60493585863,Illinois
536,2020-05-11,10312.3803469562,12038.0157979698,8872.58972215013,Illinois
536,2020-05-12,10143.1758949928,11781.1675016288,8714.36883634993,Illinois
536,2020-05-13,9984.76304566064,11576.523269857,8604.75885142116,Illinois
536,2020-05-14,9833.38740388151,11417.0955019529,8514.83703899399,Illinois
536,2020-05-15,9685.32492315072,11238.0984191914,8330.40462381673,Illinois
536,2020-05-16,9536.99308506588,11094.4210234257,8131.26161365794,Illinois
536,2020-05-17,9385.01472015535,10991.6129511737,7938.16047516185,Illinois
536,2020-05-18,9226.27186033082,10848.627751276,7750.19504597704,Illinois
536,2020-05-19,9057.98428873476,10697.36904016,7588.31989596328,Illinois
536,2020-05-20,8877.8693792581,10526.5678164929,7396.93599144759,Illinois
536,2020-05-21,8684.29131737646,10416.3506705124,7230.06799242727,Illinois
536,2020-05-22,8476.41258970388,10229.4838696176,7034.88451643381,Illinois
536,2020-05-23,8254.1920394603,9969.77091099859,6879.53326142095,Illinois
536,2020-05-24,8018.30471523841,9674.48560174902,6652.43358514153,Illinois
536,2020-05-25,7770.01424109632,9332.93777270435,6475.84720125296,Illinois
536,2020-05-26,7510.95694184615,8979.59477484421,6269.85763483778,Illinois
536,2020-05-27,7242.92279329412,8593.2324506706,6042.59875823309,Illinois
536,2020-05-28,6967.7135033204,8250.63469094327,5747.93529737273,Illinois
536,2020-05-29,6687.09937696733,7956.73788434355,5491.36153715,Illinois
536,2020-05-30,6402.85066339327,7665.72792449208,5226.30416014954,Illinois
536,2020-05-31,6116.80147439254,7326.18272755762,4954.76885342628,Illinois
536,2020-06-01,5830.88598823093,7039.15522585591,4685.10501721222,Illinois
536,2020-06-02,5547.18533386817,6722.85321629908,4441.10179733913,Illinois
536,2020-06-03,5267.97024607185,6400.0836410762,4217.13441881791,Illinois
536,2020-06-04,4995.64465200994,6084.93490323872,4021.23441657678,Illinois
536,2020-06-05,4732.57233480758,5822.706253565,3818.91517056711,Illinois
536,2020-06-06,4480.9241887747,5496.65200823962,3623.85073825649,Illinois
536,2020-06-07,4242.53173283954,5178.98921688666,3452.56204139541,Illinois
536,2020-06-08,4018.83245281536,4875.76464759736,3283.72167124622,Illinois
536,2020-06-09,3810.86941478527,4596.6905157954,3112.1980111811,Illinois
536,2020-06-10,3619.33011101921,4353.67844433233,2940.86302234618,Illinois
536,2020-06-11,3444.58502305309,4141.38200536504,2799.37381049905,Illinois
536,2020-06-12,3286.70709882871,3946.2328957094,2688.0200345728,Illinois
536,2020-06-13,3145.48223613793,3766.1672784484,2595.98303077892,Illinois
536,2020-06-14,3020.39974423644,3607.19509839642,2491.30680129508,Illinois
536,2020-06-15,2910.65508461005,3472.19440375167,2422.36306041938,Illinois
536,2020-06-16,2815.21864161663,3379.64491030608,2355.13140770518,Illinois
536,2020-06-17,2732.89574361676,3277.85885603878,2292.03784508131,Illinois
536,2020-06-18,2662.38085163556,3181.66763449413,2239.58075264705,Illinois
536,2020-06-19,2602.31625599295,3101.11927885112,2199.31042028431,Illinois
536,2020-06-20,2551.33498976829,3037.56102474875,2174.60092582689,Illinois
